id,store,product,published_date,amount,discounted_price
,2,1,2019-04-03,S/.18.10,S/.17.80
,2,1,2019-04-04,S/.18.10,S/.17.80
,2,1,2019-04-05,S/.18.10,S/.17.80
,2,1,2019-04-06,S/.18.10,S/.17.80
,2,1,2019-04-07,S/.18.10,S/.17.80
,2,1,2019-04-08,S/.18.10,S/.17.80
,2,1,2019-04-08,S/.18.10,S/.17.80
,2,1,2019-04-08,S/.18.10,S/.17.80
,2,1,2019-04-09,S/.18.10,S/.17.80
,2,1,2019-03-12,S/.18.10,S/.17.80
,2,1,2019-03-30,S/.18.10,S/.17.80
,2,1,2019-03-31,S/.18.10,S/.17.80
,2,1,2019-04-10,S/.18.10,S/.17.80
,2,1,2019-04-12,S/.18.10,S/.17.80
,2,1,2019-04-15,S/.18.10,S/.17.80
,2,1,2019-04-16,S/.18.10,S/.17.80
,2,1,2019-04-27,S/.18.10,S/.17.80
,2,1,2019-04-28,S/.18.10,S/.17.80
,2,1,2019-04-29,S/.18.10,S/.17.80
,2,1,2019-04-30,S/.18.10,S/.17.80
,2,1,2019-05-02,S/.18.10,S/.0.00
,2,1,2019-05-03,S/.18.10,S/.0.00
,2,1,2019-05-04,S/.18.10,S/.0.00
,2,2,2019-04-01,S/.26.90,S/.0.00
,2,2,2019-04-02,S/.26.90,S/.0.00